FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
1,3,0,1,16,12,5,6,2,6,6,12,1,2,0,0,-1,-1,05/11/2023,Verona,Monza,serie_a,19,12
2,1,0,0,12,8,4,2,1,1,14,11,4,2,0,0,1,0,05/11/2023,Cagliari,Genoa,serie_a,2,6
2,1,0,0,15,15,5,4,5,2,18,11,3,5,0,0,1,0,05/11/2023,Roma,Lecce,serie_a,14,10
0,1,0,1,25,4,4,3,9,2,12,21,1,3,0,0,-1,-1,05/11/2023,Fiorentina,Juventus,serie_a,4,8
2,1,0,0,17,10,5,2,9,2,7,9,3,2,0,0,1,0,06/11/2023,Frosinone,Empoli,serie_a,5,3
2,1,1,1,21,5,9,2,9,2,9,6,1,1,0,0,1,0,06/11/2023,Torino,Sassuolo,serie_a,17,16
2,2,1,2,29,9,9,2,11,0,12,14,2,1,0,0,0,-1,10/11/2023,Sassuolo,Salernitana,serie_a,16,15
1,0,1,0,16,7,6,1,6,7,9,16,1,4,0,0,1,1,10/11/2023,Genoa,Verona,serie_a,6,19
2,2,0,2,14,10,5,6,3,1,12,16,4,6,0,1,0,-1,11/11/2023,Lecce,Milan,serie_a,10,11
2,1,0,0,18,11,4,2,12,4,14,8,3,1,0,0,1,0,11/11/2023,Juventus,Cagliari,serie_a,8,2
1,1,0,0,12,12,5,5,3,1,11,11,2,2,0,0,0,0,11/11/2023,Monza,Torino,serie_a,12,17
0,1,0,0,18,8,7,3,8,3,11,13,1,1,0,0,-1,0,12/11/2023,Napoli,Empoli,serie_a,13,3
2,1,1,1,12,11,4,4,0,3,19,15,2,2,0,0,1,0,12/11/2023,Fiorentina,Bologna,serie_a,4,1
1,1,1,0,13,8,4,2,7,7,13,13,2,3,0,0,0,1,12/11/2023,Udinese,Atalanta,serie_a,18,0
0,0,0,0,7,8,2,1,4,1,12,13,3,4,0,0,0,0,12/11/2023,Lazio,Roma,serie_a,9,14
2,0,1,0,21,12,6,3,9,4,7,16,0,1,0,0,1,1,12/11/2023,Inter,Frosinone,serie_a,7,5
2,1,0,1,13,13,6,2,4,9,11,12,5,3,0,0,1,-1,25/11/2023,Salernitana,Lazio,serie_a,15,9
1,2,0,1,16,11,5,4,5,4,15,9,2,2,0,0,-1,-1,25/11/2023,Atalanta,Napoli,serie_a,0,13
1,0,1,0,9,20,6,4,3,11,9,10,1,2,0,0,1,1,25/11/2023,Milan,Fiorentina,serie_a,11,4
1,1,1,0,17,12,6,4,10,11,10,15,1,2,0,0,0,1,26/11/2023,Cagliari,Monza,serie_a,2,12
3,4,2,2,11,17,9,9,6,5,20,15,4,2,0,0,-1,0,26/11/2023,Empoli,Sassuolo,serie_a,3,16
2,1,1,1,9,13,5,3,4,2,5,14,2,4,0,0,1,0,26/11/2023,Frosinone,Genoa,serie_a,5,6
3,1,1,0,12,6,5,2,7,1,8,15,1,3,0,0,1,1,26/11/2023,Roma,Udinese,serie_a,14,18
1,1,1,1,4,8,1,4,1,0,12,13,2,1,0,0,0,0,26/11/2023,Juventus,Inter,serie_a,8,7
2,2,1,1,19,14,11,5,4,2,15,17,1,2,0,0,0,0,27/11/2023,Verona,Lecce,serie_a,19,10
2,0,0,0,13,9,2,3,3,2,16,15,3,4,0,0,1,0,27/11/2023,Bologna,Torino,serie_a,1,17
1,2,0,1,16,18,1,7,7,3,12,8,1,2,0,0,-1,-1,01/12/2023,Monza,Juventus,serie_a,12,8
1,1,1,0,21,9,1,1,5,3,15,19,3,1,0,0,0,1,02/12/2023,Genoa,Empoli,serie_a,6,3
1,0,1,0,10,9,5,2,4,3,11,12,0,2,0,1,1,1,02/12/2023,Lazio,Cagliari,serie_a,9,2
3,1,1,0,10,15,3,3,6,7,11,6,1,1,0,0,1,1,02/12/2023,Milan,Frosinone,serie_a,11,5
1,1,0,0,14,11,4,4,6,3,12,18,3,2,0,0,0,0,03/12/2023,Lecce,Bologna,serie_a,10,1
3,0,2,0,22,11,9,1,3,2,13,12,1,0,0,0,1,1,03/12/2023,Fiorentina,Salernitana,serie_a,4,15
3,3,2,1,12,13,6,4,5,3,16,13,2,5,0,0,0,1,03/12/2023,Udinese,Verona,serie_a,18,19
1,2,1,0,8,15,2,7,1,11,10,11,4,1,1,0,-1,1,03/12/2023,Sassuolo,Roma,serie_a,16,14
0,3,0,1,15,11,4,4,6,4,2,13,2,2,0,0,-1,-1,03/12/2023,Napoli,Inter,serie_a,13,7
3,0,1,0,9,10,5,4,4,3,12,14,2,2,0,0,1,1,04/12/2023,Torino,Atalanta,serie_a,17,0
1,0,0,0,11,13,2,1,3,6,11,12,2,4,0,0,1,0,08/12/2023,Juventus,Napoli,serie_a,8,13
1,1,0,1,5,14,1,5,1,7,16,11,2,4,1,0,0,-1,09/12/2023,Verona,Lazio,serie_a,19,9
3,2,1,1,19,14,7,4,6,4,11,11,1,5,0,1,1,0,09/12/2023,Atalanta,Milan,serie_a,0,11
4,0,3,0,17,11,8,1,6,1,9,6,0,1,0,0,1,1,09/12/2023,Inter,Udinese,serie_a,7,18
0,0,0,0,11,16,5,3,3,8,13,17,3,3,0,0,0,0,10/12/2023,Frosinone,Torino,serie_a,5,17
1,0,0,0,6,16,3,1,2,3,11,13,1,2,0,0,1,0,10/12/2023,Monza,Genoa,serie_a,12,6
1,2,0,2,9,10,2,5,5,1,20,15,7,2,0,0,-1,-1,10/12/2023,Salernitana,Bologna,serie_a,15,1
1,1,1,0,4,14,1,8,1,6,14,14,5,3,2,1,0,1,10/12/2023,Roma,Fiorentina,serie_a,14,4
1,1,0,0,18,14,6,5,8,3,14,18,2,2,0,0,0,0,11/12/2023,Empoli,Lecce,serie_a,3,10
2,1,0,1,18,8,6,4,10,4,15,15,1,7,0,1,1,-1,11/12/2023,Cagliari,Sassuolo,serie_a,2,16
1,1,0,1,11,11,3,4,6,8,14,12,2,3,0,0,0,-1,15/12/2023,Genoa,Juventus,serie_a,6,8
2,1,1,1,18,11,6,5,5,4,8,14,1,4,0,0,1,0,16/12/2023,Lecce,Frosinone,serie_a,10,5
2,1,0,0,21,9,5,3,5,3,9,10,5,3,0,0,1,0,16/12/2023,Napoli,Cagliari,serie_a,13,2
1,0,1,0,10,7,3,2,6,4,15,10,4,2,0,0,1,1,16/12/2023,Torino,Empoli,serie_a,17,3
3,0,2,0,17,21,9,4,4,5,8,8,1,2,0,0,1,1,17/12/2023,Milan,Monza,serie_a,11,12
1,0,0,0,5,19,3,7,1,6,11,12,3,1,0,0,1,0,17/12/2023,Fiorentina,Verona,serie_a,4,19
2,2,1,0,9,21,7,7,1,13,13,6,3,1,1,0,0,1,17/12/2023,Udinese,Sassuolo,serie_a,18,16
2,0,1,0,8,8,2,3,0,4,16,16,4,4,0,0,1,1,17/12/2023,Bologna,Roma,serie_a,1,14
0,2,0,1,13,12,4,4,8,7,13,15,1,2,1,0,-1,-1,17/12/2023,Lazio,Inter,serie_a,9,7
4,1,0,1,20,10,11,3,10,7,9,11,1,2,0,0,1,-1,18/12/2023,Atalanta,Salernitana,serie_a,0,15
0,2,0,1,21,14,7,7,8,9,6,17,3,2,0,0,-1,-1,22/12/2023,Empoli,Lazio,serie_a,3,9
1,2,1,0,12,14,3,5,3,6,11,9,2,1,0,0,-1,1,22/12/2023,Sassuolo,Genoa,serie_a,16,6
0,1,0,1,7,14,2,5,1,4,12,16,3,4,0,0,-1,-1,22/12/2023,Monza,Fiorentina,serie_a,12,4
2,2,1,1,19,21,7,9,6,6,16,11,3,1,1,0,0,0,22/12/2023,Salernitana,Milan,serie_a,15,11
1,2,0,1,10,13,3,3,8,8,6,12,0,2,0,0,-1,-1,23/12/2023,Frosinone,Juventus,serie_a,5,8
1,0,0,0,9,12,1,2,2,3,10,14,2,4,0,0,1,0,23/12/2023,Bologna,Atalanta,serie_a,1,0
1,1,0,0,14,10,4,4,8,2,10,11,2,2,0,0,0,0,23/12/2023,Torino,Udinese,serie_a,17,18
2,0,1,0,20,11,8,5,16,2,8,14,1,3,0,1,1,1,23/12/2023,Inter,Lecce,serie_a,7,10
2,0,0,0,13,12,5,3,11,7,8,19,3,4,0,1,1,0,23/12/2023,Verona,Cagliari,serie_a,19,2
2,0,0,0,17,7,4,2,4,0,19,12,7,4,0,2,1,0,23/12/2023,Roma,Napoli,serie_a,14,13
1,0,0,0,12,6,3,3,4,2,11,15,4,2,0,0,1,0,29/12/2023,Fiorentina,Torino,serie_a,4,17
0,0,0,0,25,8,9,3,10,1,10,21,4,4,0,0,0,0,29/12/2023,Napoli,Monza,serie_a,13,12
