FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,1,0,0,12,12,6,4,10,5,13,11,4,3,0,1,-1,0,22/10/2023,Las Palmas,Vallecano,la_liga,16,28
5,2,3,2,19,9,8,5,9,6,11,14,1,2,0,0,1,1,22/10/2023,Girona,Almeria,la_liga,12,1
1,1,0,0,12,16,3,7,9,3,15,10,4,3,0,0,0,0,22/10/2023,Villarreal,Alaves,la_liga,29,0
1,0,0,0,12,10,7,3,4,7,11,18,3,3,0,0,1,0,22/10/2023,Barcelona,Ath Bilbao,la_liga,4,2
2,0,2,0,12,5,4,4,4,6,16,16,0,3,0,1,1,1,23/10/2023,Valencia,Cadiz,la_liga,26,6
1,0,0,0,12,4,2,2,10,1,15,12,3,2,0,0,1,0,27/10/2023,Girona,Celta,la_liga,12,7
1,2,0,1,10,10,4,3,3,2,13,19,3,1,0,0,-1,-1,28/10/2023,Almeria,Las Palmas,la_liga,1,16
1,2,1,0,15,13,3,4,6,3,15,15,2,1,0,0,-1,1,28/10/2023,Barcelona,Real Madrid,la_liga,4,22
0,0,0,0,15,8,4,0,8,3,10,25,0,1,0,0,0,0,28/10/2023,Mallorca,Getafe,la_liga,20,11
2,2,2,1,10,20,5,10,2,4,17,12,6,4,0,0,0,1,28/10/2023,Cadiz,Sevilla,la_liga,6,23
2,1,1,0,9,7,2,1,6,3,10,25,3,4,0,0,1,1,29/10/2023,Betis,Osasuna,la_liga,5,21
2,2,1,1,16,15,7,3,4,5,17,16,3,2,0,0,0,0,29/10/2023,Vallecano,Sociedad,la_liga,28,24
2,2,1,0,12,11,7,5,10,4,11,10,3,1,0,0,0,1,29/10/2023,Ath Bilbao,Valencia,la_liga,2,26
2,1,2,0,11,8,7,1,4,4,10,11,3,2,0,0,1,1,29/10/2023,Ath Madrid,Alaves,la_liga,3,0
2,3,2,3,18,6,8,5,4,1,14,15,0,4,0,0,-1,-1,30/10/2023,Granada,Villarreal,la_liga,13,29
2,1,0,0,9,13,3,5,3,4,12,9,0,3,0,0,1,0,03/11/2023,Las Palmas,Ath Madrid,la_liga,16,3
2,4,1,1,15,11,3,4,2,7,14,10,5,3,0,0,-1,0,04/11/2023,Osasuna,Girona,la_liga,21,12
2,0,1,0,22,8,3,1,6,1,13,16,1,4,0,1,1,1,04/11/2023,Betis,Mallorca,la_liga,5,20
1,1,1,0,15,13,3,5,4,6,14,10,2,5,1,0,0,1,04/11/2023,Celta,Sevilla,la_liga,7,23
0,1,0,0,13,12,6,4,8,3,16,8,3,3,0,0,-1,0,04/11/2023,Sociedad,Barcelona,la_liga,24,4
1,0,0,0,23,9,3,3,12,6,13,14,2,3,0,0,1,0,05/11/2023,Alaves,Almeria,la_liga,0,1
1,0,1,0,11,6,2,1,0,4,20,15,3,5,0,0,1,1,05/11/2023,Valencia,Granada,la_liga,26,13
2,3,0,3,17,17,6,7,9,3,11,18,4,4,0,0,-1,-1,05/11/2023,Villarreal,Ath Bilbao,la_liga,29,2
0,0,0,0,22,4,5,0,11,1,12,15,3,5,0,0,0,0,05/11/2023,Real Madrid,Vallecano,la_liga,22,28
1,0,0,0,13,6,3,2,6,3,18,12,7,1,1,0,1,0,06/11/2023,Getafe,Cadiz,la_liga,11,6
4,3,2,2,21,13,12,5,7,2,15,13,2,2,0,0,1,0,10/11/2023,Ath Bilbao,Celta,la_liga,2,7
1,2,1,1,22,19,9,7,8,3,15,13,1,2,0,0,-1,0,11/11/2023,Vallecano,Girona,la_liga,28,12
1,3,0,0,7,18,2,6,5,5,18,19,2,2,0,0,-1,0,11/11/2023,Almeria,Sociedad,la_liga,1,24
1,1,1,1,12,10,6,6,3,5,14,9,4,2,0,0,0,0,11/11/2023,Granada,Getafe,la_liga,13,11
1,1,0,0,11,6,3,1,8,3,25,10,1,1,0,0,0,0,11/11/2023,Osasuna,Las Palmas,la_liga,21,16
5,1,2,0,16,10,7,4,4,4,7,26,1,3,0,0,1,1,11/11/2023,Real Madrid,Valencia,la_liga,22,26
2,1,0,1,11,8,6,1,2,1,11,10,2,1,0,0,1,-1,12/11/2023,Barcelona,Alaves,la_liga,4,0
1,1,0,0,13,14,4,6,9,5,18,14,1,1,0,0,0,0,12/11/2023,Sevilla,Betis,la_liga,23,5
3,1,1,1,25,11,10,7,6,3,8,8,0,2,0,0,1,0,12/11/2023,Ath Madrid,Villarreal,la_liga,3,29
3,1,2,0,8,11,5,4,6,2,10,13,1,3,0,0,1,1,24/11/2023,Alaves,Granada,la_liga,0,13
1,1,1,0,10,15,4,4,1,4,23,13,3,4,0,0,0,1,25/11/2023,Vallecano,Barcelona,la_liga,28,4
0,0,0,0,8,13,0,1,5,7,13,7,3,2,0,0,0,0,25/11/2023,Valencia,Celta,la_liga,26,7
2,1,2,1,18,13,5,4,3,6,12,8,2,4,0,0,1,1,25/11/2023,Getafe,Almeria,la_liga,11,1
1,0,0,0,20,8,3,1,7,3,8,19,0,0,0,0,1,0,25/11/2023,Ath Madrid,Mallorca,la_liga,3,20
3,1,0,0,10,15,3,7,2,4,9,14,0,0,0,0,1,0,26/11/2023,Villarreal,Osasuna,la_liga,29,21
2,1,2,0,11,8,8,2,4,4,22,8,2,1,0,2,1,1,26/11/2023,Sociedad,Sevilla,la_liga,24,23
0,3,0,1,13,14,4,5,4,4,16,16,3,3,0,0,-1,-1,26/11/2023,Cadiz,Real Madrid,la_liga,6,22
1,0,1,0,12,15,6,4,7,6,7,12,1,2,0,0,1,1,26/11/2023,Betis,Las Palmas,la_liga,5,16
1,1,0,0,12,13,2,6,2,6,8,16,1,1,0,0,0,0,27/11/2023,Girona,Ath Bilbao,la_liga,12,2
1,1,1,1,16,6,3,3,7,0,14,18,2,3,0,0,0,0,29/11/2023,Mallorca,Cadiz,la_liga,20,6
2,0,1,0,11,12,6,4,4,4,11,9,0,5,0,1,1,1,01/12/2023,Las Palmas,Getafe,la_liga,16,11
2,1,0,0,9,9,5,3,3,2,6,7,2,3,0,0,1,0,02/12/2023,Girona,Valencia,la_liga,12,26
4,0,1,0,9,11,4,3,7,2,15,11,1,2,0,0,1,1,02/12/2023,Ath Bilbao,Vallecano,la_liga,2,28
2,0,1,0,11,1,4,0,6,0,10,12,2,1,0,0,1,1,02/12/2023,Real Madrid,Granada,la_liga,22,13
1,1,1,1,9,17,3,5,1,8,12,10,3,3,0,0,0,0,02/12/2023,Osasuna,Sociedad,la_liga,21,24
0,0,0,0,7,7,3,4,5,4,16,15,4,2,0,0,0,0,03/12/2023,Mallorca,Alaves,la_liga,20,0
0,0,0,0,20,6,8,2,4,6,12,8,0,3,0,1,0,0,03/12/2023,Almeria,Betis,la_liga,1,5
1,1,0,0,18,5,4,4,8,4,6,16,3,2,0,0,0,0,03/12/2023,Sevilla,Villarreal,la_liga,23,29
