FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
5,1,3,1,18,9,9,1,6,3,9,14,0,3,0,0,1,1,29/10/2019,Barcelona,Valladolid,la_liga,3,18
1,2,0,2,17,13,5,4,9,5,15,12,3,4,0,0,-1,-1,30/10/2019,Sociedad,Levante,la_liga,16,11
1,1,0,1,10,10,3,1,6,1,12,17,6,3,0,0,0,-1,30/10/2019,Valencia,Sevilla,la_liga,17,15
3,0,2,0,7,12,5,5,2,5,13,20,0,1,0,0,1,1,30/10/2019,Ath Bilbao,Espanol,la_liga,1,7
2,1,1,0,11,18,7,5,5,10,16,17,6,1,0,0,1,1,30/10/2019,Betis,Celta,la_liga,4,5
5,0,3,0,22,5,11,3,8,3,12,12,1,5,0,0,1,1,30/10/2019,Real Madrid,Leganes,la_liga,14,10
2,1,0,0,25,9,8,2,8,3,11,12,0,3,0,0,1,0,31/10/2019,Eibar,Villarreal,la_liga,6,19
2,2,1,0,11,12,3,4,5,3,9,10,1,5,0,0,0,1,31/10/2019,Mallorca,Osasuna,la_liga,12,13
3,1,2,0,8,10,3,2,2,3,22,11,5,5,0,0,1,1,31/10/2019,Getafe,Granada,la_liga,8,9
1,2,1,0,13,11,4,4,5,5,20,14,0,1,0,0,-1,1,02/11/2019,Espanol,Valencia,la_liga,7,17
3,1,0,1,9,9,3,6,2,3,9,13,1,6,0,0,1,-1,02/11/2019,Levante,Barcelona,la_liga,11,3
1,1,1,0,11,14,4,5,6,3,13,16,4,3,0,0,0,1,02/11/2019,Sevilla,Ath Madrid,la_liga,15,2
0,0,0,0,22,13,7,3,9,4,11,17,2,4,0,0,0,0,02/11/2019,Real Madrid,Betis,la_liga,14,4
3,0,1,0,12,14,6,1,2,6,15,20,5,4,0,0,1,1,03/11/2019,Valladolid,Mallorca,la_liga,18,12
0,0,0,0,11,12,7,2,8,10,10,8,2,0,0,0,0,0,03/11/2019,Villarreal,Ath Bilbao,la_liga,19,1
4,2,3,1,19,11,6,3,5,1,13,17,4,2,0,0,1,1,03/11/2019,Osasuna,Alaves,la_liga,13,0
0,1,0,1,6,9,2,5,4,4,6,19,3,3,0,0,-1,-1,03/11/2019,Celta,Getafe,la_liga,5,8
1,2,1,1,12,7,5,4,4,2,16,20,5,2,0,0,-1,0,03/11/2019,Leganes,Eibar,la_liga,10,6
1,2,1,1,5,9,3,5,4,5,15,19,0,2,0,0,-1,0,03/11/2019,Granada,Sociedad,la_liga,9,16
1,1,0,0,11,6,5,2,5,1,14,23,2,6,0,1,0,0,08/11/2019,Sociedad,Leganes,la_liga,16,10
3,0,2,0,14,7,5,1,6,7,21,16,3,3,0,0,1,1,09/11/2019,Alaves,Valladolid,la_liga,0,18
2,0,0,0,12,13,4,1,7,4,11,15,0,5,0,0,1,0,09/11/2019,Valencia,Granada,la_liga,17,9
0,4,0,3,14,10,1,5,6,6,9,8,0,0,0,0,-1,-1,09/11/2019,Eibar,Real Madrid,la_liga,6,14
4,1,2,1,10,6,7,5,2,2,18,14,4,1,0,0,1,1,09/11/2019,Barcelona,Celta,la_liga,3,5
3,1,2,0,5,22,3,6,2,5,18,17,2,3,0,0,1,1,10/11/2019,Mallorca,Villarreal,la_liga,12,19
2,1,0,1,23,8,10,2,10,2,13,13,3,2,0,0,1,-1,10/11/2019,Ath Bilbao,Levante,la_liga,1,11
3,1,1,1,18,10,5,1,9,2,12,15,2,2,0,0,1,0,10/11/2019,Ath Madrid,Espanol,la_liga,2,7
0,0,0,0,14,4,5,1,9,5,15,16,2,4,0,0,0,0,10/11/2019,Getafe,Osasuna,la_liga,8,13
1,2,1,1,18,10,5,6,4,4,12,21,2,3,0,0,-1,0,10/11/2019,Betis,Sevilla,la_liga,4,15
